"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the spalding gray [[equivalent]] of a [[teen]] gross-out [[comedy]] .","the spalding gray [[comparable]] of a [[youths]] gross-out [[charade]] .",0.030865848064422607,0.10172569751739502,0,0,0,34,"Failed"
"all [[mood]] and no [[movie]] .","all [[humour]] and no [[cinematographic]] .",0.012871623039245605,0.05291140079498291,0,0,0,18,"Failed"
"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.8763509392738342,0.8763509392738342,0,0,1,1,"Skipped"
"[[despite]] an overwrought ending , the [[film]] [[works]] as [[well]] as it does because of the performances .","[[however]] an overwrought ending , the [[cinematography]] [[cooperating]] as [[good]] as it does because of the performances .",0.011562049388885498,0.890662670135498,1,0,1,39,"Successful"
"connoisseurs of chinese [[film]] will be [[pleased]] to [[discover]] that tian's meticulous talent has not [[withered]] during his enforced [[hiatus]] .","connoisseurs of chinese [[kino]] will be [[happy]] to [[detects]] that tian's meticulous talent has not [[wither]] during his enforced [[pausing]] .",0.04893040657043457,0.5562163591384888,1,0,1,48,"Successful"
"exploring [[value]] choices is a worthwhile [[topic]] for a [[film]] -- but here the [[choices]] are as contrived and [[artificial]] as kerrigan's platinum-blonde hair .","exploring [[values]] choices is a worthwhile [[themes]] for a [[kino]] -- but here the [[pick]] are as contrived and [[contrived]] as kerrigan's platinum-blonde hair .",0.019510209560394287,0.574055016040802,0,1,0,65,"Successful"
"a dark [[comedy]] that goes for [[sick]] and demented humor [[simply]] to do so . the [[movie]] is [[without]] intent .","a dark [[humorous]] that goes for [[unwell]] and demented humor [[simple]] to do so . the [[cinema]] is [[sans]] intent .",0.0514410138130188,0.5172677636146545,0,1,0,45,"Successful"
"more trifle than [[triumph]] .","more trifle than [[victoire]] .",0.12433856725692749,0.18255740404129028,0,0,0,13,"Failed"
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",0.9288490414619446,0.9288490414619446,1,1,0,1,"Skipped"
"directed in a flashy , [[empty]] sub-music video style by a director so self-possessed he [[actually]] adds a period to his first name","directed in a flashy , [[emptiness]] sub-music video style by a director so self-possessed he [[genuinely]] adds a period to his first name",0.06216716766357422,0.8573468923568726,0,1,0,18,"Successful"
"the movie is concocted and carried out by folks worthy of [[scorn]] , and the nicest thing i can say is that i can't remember a [[single]] name [[responsible]] for it .","the movie is concocted and carried out by folks worthy of [[disrespect]] , and the nicest thing i can say is that i can't remember a [[lonely]] name [[answerable]] for it .",0.09459090232849121,0.5796093940734863,0,1,0,34,"Successful"
"[[aptly]] named , this shimmering , beautifully costumed and [[filmed]] production doesn't [[work]] for me .","[[eloquently]] named , this shimmering , beautifully costumed and [[shot]] production doesn't [[collaborated]] for me .",0.05754578113555908,0.7285881042480469,0,1,0,35,"Successful"
"an [[enthralling]] , [[entertaining]] [[feature]] .","an [[intriguing]] , [[droll]] [[idiosyncratic]] .",0.0032728910446166992,0.7965065240859985,1,0,1,29,"Successful"
". . . a sweetly [[affecting]] [[story]] about four [[sisters]] who are [[coping]] , in one [[way]] or another , with life's [[endgame]] .",". . . a sweetly [[influence]] [[fairytales]] about four [[sister]] who are [[retrofit]] , in one [[routing]] or another , with life's [[prom]] .",0.002549469470977783,0.020290136337280273,1,1,1,48,"Failed"
"a slow-moving police-procedural [[thriller]] that [[takes]] its title all too literally .","a slow-moving police-procedural [[thrillers]] that [[pick]] its title all too literally .",0.03771013021469116,0.04099404811859131,0,0,0,10,"Failed"
"the engagingly primitive animated special effects [[contribute]] to a [[mood]] that's [[sustained]] through the [[surprisingly]] [[somber]] [[conclusion]] .","the engagingly primitive animated special effects [[contributed]] to a [[ambience]] that's [[incessant]] through the [[appallingly]] [[dismal]] [[concluded]] .",0.008137226104736328,0.7427047491073608,1,0,1,91,"Successful"
"it should be doing a lot of [[things]] , but doesn't .","it should be doing a lot of [[matters]] , but doesn't .",0.029250681400299072,0.033978939056396484,0,0,0,9,"Failed"
"according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves .","according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves .",0.7199046015739441,0.7199046015739441,1,1,0,1,"Skipped"
"i've [[yet]] to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .","i've [[nonetheless]] to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .",0.37014174461364746,0.6730160713195801,1,0,1,29,"Successful"
"'[[opening]] up' the play more has partly [[closed]] it down .","'[[initiation]] up' the play more has partly [[closure]] it down .",0.22807854413986206,0.4355734586715698,0,0,0,26,"Failed"
"the rules of [[attraction]] [[gets]] [[us]] too [[drunk]] on the [[party]] [[favors]] to sober us up with the transparent [[attempts]] at [[moralizing]] .","the rules of [[seduction]] [[attains]] [[americans]] too [[inebriated]] on the [[parties]] [[prefers]] to sober us up with the transparent [[endeavour]] at [[moralist]] .",0.05203002691268921,0.7547557353973389,0,1,0,65,"Successful"
"leigh isn't breaking new ground , but he knows how a daily grind can kill love .","leigh isn't breaking new ground , but he knows how a daily grind can kill love .",0.6101257801055908,0.6101257801055908,0,0,1,1,"Skipped"
"it was filled with shootings , beatings , and more cussing than you could shake a stick at .","it was filled with shootings , beatings , and more cussing than you could shake a stick at .",0.8188828229904175,0.8188828229904175,0,0,1,1,"Skipped"
"it has the right approach and the right opening [[premise]] , but it [[lacks]] the zest and it goes for a [[plot]] twist [[instead]] of trusting the material .","it has the right approach and the right opening [[supposition]] , but it [[absence]] the zest and it goes for a [[intrigue]] twist [[conversely]] of trusting the material .",0.04211008548736572,0.7288241982460022,0,1,0,31,"Successful"
"ninety [[minutes]] of [[viva]] castro ! can be as [[tiresome]] as 9 seconds of jesse helms' anti- castro [[rhetoric]] , which are included","ninety [[mins]] of [[alive]] castro ! can be as [[exhausting]] as 9 seconds of jesse helms' anti- castro [[discourse]] , which are included",0.03590267896652222,0.44856584072113037,0,0,0,41,"Failed"
"an [[enormously]] [[entertaining]] movie , like nothing we've ever seen before , and yet completely familiar .","an [[unimaginably]] [[droll]] movie , like nothing we've ever seen before , and yet completely familiar .",0.004169881343841553,0.5415881872177124,1,0,1,50,"Successful"
"after several scenes of this tacky [[nonsense]] , you'll be wistful for the testosterone-charged wizardry of [[jerry]] bruckheimer productions , especially because half past [[dead]] is [[like]] the rock on a wal-mart [[budget]] .","after several scenes of this tacky [[grotesque]] , you'll be wistful for the testosterone-charged wizardry of [[jiri]] bruckheimer productions , especially because half past [[die]] is [[adores]] the rock on a wal-mart [[budgets]] .",0.06377798318862915,0.5222365260124207,0,1,0,59,"Successful"
"blue [[crush]] has all the trappings of an energetic , extreme-sports adventure , but [[ends]] up more of a [[creaky]] "" [[pretty]] [[woman]] "" retread , with the [[emphasis]] on self-empowering schmaltz and big-wave [[surfing]] that gives pic its title an [[afterthought]] .","blue [[trample]] has all the trappings of an energetic , extreme-sports adventure , but [[culminates]] up more of a [[rickety]] "" [[belle]] [[femmes]] "" retread , with the [[accent]] on self-empowering schmaltz and big-wave [[navigating]] that gives pic its title an [[hindsight]] .",0.020150959491729736,0.5401601791381836,0,1,0,54,"Successful"
"even though we know the outcome , the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting [[suspense]] of a legal thriller , while the testimony of witnesses lends the [[film]] a resonant undertone of tragedy .","even though we know the outcome , the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting [[sufferance]] of a legal thriller , while the testimony of witnesses lends the [[movies]] a resonant undertone of tragedy .",0.14398938417434692,0.6030056476593018,1,0,1,36,"Successful"
"the [[romance]] between the [[leads]] isn't as [[compelling]] or as [[believable]] as it should be .","the [[romanticism]] between the [[leeds]] isn't as [[cogent]] or as [[dependable]] as it should be .",0.08598935604095459,0.36233335733413696,0,0,0,17,"Failed"
"the [[movie]] is a little [[tired]] ; maybe the original inspiration has [[run]] its course .","the [[cinematographic]] is a little [[weary]] ; maybe the original inspiration has [[executes]] its course .",0.10389572381973267,0.5253095626831055,0,1,0,28,"Successful"
"the [[story]] itself it [[mostly]] told through on-camera [[interviews]] with [[several]] [[survivors]] , whose [[riveting]] [[memories]] are [[rendered]] with such [[clarity]] that it's as if it all [[happened]] only [[yesterday]] .","the [[storytelling]] itself it [[basically]] told through on-camera [[interview]] with [[variety]] [[survivor]] , whose [[exciting]] [[memoirs]] are [[handed]] with such [[lucidity]] that it's as if it all [[sweated]] only [[thursday]] .",0.012060284614562988,0.6341097354888916,1,0,1,86,"Successful"
"a [[passionately]] [[inquisitive]] [[film]] determined to [[uncover]] the truth and hopefully [[inspire]] [[action]] .","a [[restlessly]] [[nosey]] [[cinematography]] determined to [[disclose]] the truth and hopefully [[motivate]] [[efforts]] .",0.0037540793418884277,0.26872342824935913,1,1,1,58,"Failed"
"a [[zombie]] [[movie]] in [[every]] [[sense]] of the word--mindless , lifeless , [[meandering]] , [[loud]] , [[painful]] , [[obnoxious]] .","a [[ghoul]] [[cinema]] in [[each]] [[feeling]] of the word--mindless , lifeless , [[meander]] , [[vocal]] , [[hurtful]] , [[heinous]] .",0.009309768676757812,0.28987789154052734,0,0,0,57,"Failed"
"the [[movie]] doesn't [[generate]] a [[lot]] of energy . it is dark , [[brooding]] and [[slow]] , and [[takes]] its central [[idea]] [[way]] too [[seriously]] .","the [[cinematographic]] doesn't [[begets]] a [[batches]] of energy . it is dark , [[brood]] and [[lento]] , and [[pick]] its central [[notions]] [[camino]] too [[harshly]] .",0.02547365427017212,0.33432358503341675,0,0,0,79,"Failed"
"highlighted by a gritty [[style]] and an [[excellent]] cast , it's better than one [[might]] [[expect]] when you look at the list of movies starring ice-t in a major role .","highlighted by a gritty [[styling]] and an [[sumptuous]] cast , it's better than one [[probability]] [[awaited]] when you look at the list of movies starring ice-t in a major role .",0.013927698135375977,0.7071359157562256,1,0,1,74,"Successful"
"the [[first]] [[mistake]] , i suspect , is casting shatner as a legendary professor and kunis as a [[brilliant]] [[college]] student--where's pauly [[shore]] as the rocket [[scientist]] ?","the [[frst]] [[wrong]] , i suspect , is casting shatner as a legendary professor and kunis as a [[phenomenal]] [[campus]] student--where's pauly [[rive]] as the rocket [[investigators]] ?",0.07616543769836426,0.1500900387763977,0,0,0,109,"Failed"
"one of [jaglom's] better [[efforts]] -- a [[wry]] and sometime [[bitter]] [[movie]] about [[love]] .","one of [jaglom's] better [[effort]] -- a [[sardonic]] and sometime [[embittered]] [[kino]] about [[iike]] .",0.04860299825668335,0.3666425347328186,1,1,1,47,"Failed"
"essentially , the film is [[weak]] on detail and strong on personality","essentially , the film is [[vulnerable]] on detail and strong on personality",0.3187890648841858,0.9718742370605469,0,1,0,16,"Successful"
"if it's unnerving suspense you're after -- you'll find it with ring , an indisputably [[spooky]] film ; with a screenplay to die for .","if it's unnerving suspense you're after -- you'll find it with ring , an indisputably [[awful]] film ; with a screenplay to die for .",0.09994685649871826,0.9704265594482422,1,0,1,30,"Successful"
"in terms of execution this movie is [[careless]] and unfocused .","in terms of execution this movie is [[carefree]] and unfocused .",0.015817224979400635,0.9454960227012634,0,1,0,13,"Successful"
"about the best thing you could say about narc is that it's a rock-solid little genre [[picture]] . whether you like it or not is basically a matter of taste .","about the best thing you could say about narc is that it's a rock-solid little genre [[pictured]] . whether you like it or not is basically a matter of taste .",0.15131604671478271,0.5485439300537109,1,0,1,30,"Successful"
"affable if not [[timeless]] , like mike raises some worthwhile [[themes]] while delivering a [[wholesome]] fantasy for kids .","affable if not [[incorruptible]] , like mike raises some worthwhile [[item]] while delivering a [[healthier]] fantasy for kids .",0.01831042766571045,0.5527198314666748,1,0,1,28,"Successful"
"less cinematically powerful than quietly and deeply [[moving]] , which is [[powerful]] in itself .","less cinematically powerful than quietly and deeply [[displacement]] , which is [[emphatic]] in itself .",0.06655031442642212,0.6545836925506592,1,0,1,19,"Successful"
"a well-rounded [[tribute]] to a [[man]] [[whose]] [[achievements]] -- and [[complexities]] -- [[reached]] far [[beyond]] the [[end]] [[zone]] .","a well-rounded [[accolades]] to a [[males]] [[which]] [[successes]] -- and [[complications]] -- [[totaled]] far [[afterlife]] the [[terminating]] [[zoning]] .",0.0032112598419189453,0.08735406398773193,1,1,1,59,"Failed"
"you won't look at religious fanatics -- or backyard sheds -- the same way again .","you won't look at religious fanatics -- or backyard sheds -- the same way again .",0.6031378507614136,0.6031378507614136,0,0,1,1,"Skipped"
"[a] boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates [[like]] so much crypt mist in the brain .","[a] boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates [[loves]] so much crypt mist in the brain .",0.44448012113571167,0.5808185338973999,0,1,0,21,"Successful"
"bearable . [[barely]] .","bearable . [[hardly]] .",0.1349305510520935,0.21014034748077393,0,0,0,6,"Failed"
"it's a [[testament]] to de niro and director michael caton-jones that by movie's [[end]] , we accept the [[characters]] and the film , flaws and all .","it's a [[wills]] to de niro and director michael caton-jones that by movie's [[termination]] , we accept the [[features]] and the film , flaws and all .",0.13860899209976196,0.7911762595176697,1,0,1,32,"Successful"
"a [[solidly]] [[entertaining]] little [[film]] .","a [[hermetically]] [[amuse]] little [[cinematography]] .",0.003734409809112549,0.9010119438171387,1,0,1,27,"Successful"
"[[queen]] of the [[damned]] is too [[long]] with too [[little]] [[going]] on .","[[quinn]] of the [[goddamned]] is too [[lang]] with too [[tiny]] [[gonna]] on .",0.0234527587890625,0.04853105545043945,0,0,0,34,"Failed"
"in his [[latest]] effort , [[storytelling]] , solondz has [[finally]] [[made]] a [[movie]] that isn't just [[offensive]] -- it [[also]] happens to be [[good]] .","in his [[recent]] effort , [[tales]] , solondz has [[eventually]] [[brought]] a [[flick]] that isn't just [[objectionable]] -- it [[apart]] happens to be [[alright]] .",0.028668999671936035,0.4147680401802063,1,1,1,65,"Failed"
"the film's [[trailer]] [[also]] looked [[like]] [[crap]] , so [[crap]] is what i was [[expecting]] .","the film's [[trailers]] [[besides]] looked [[iike]] [[bollocks]] , so [[baloney]] is what i was [[awaits]] .",0.02741372585296631,0.31549328565597534,0,0,0,60,"Failed"
"koepp's screenplay isn't nearly surprising or [[clever]] enough to sustain a reasonable degree of suspense on its own .","koepp's screenplay isn't nearly surprising or [[smarts]] enough to sustain a reasonable degree of suspense on its own .",0.37299203872680664,0.7552940249443054,0,1,0,28,"Successful"
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . """,""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . """,0.7984049320220947,0.7984049320220947,0,0,1,1,"Skipped"
"the most consistently [[funny]] of the austin powers films .","the most consistently [[droll]] of the austin powers films .",0.004606127738952637,0.7767452001571655,1,0,1,12,"Successful"
"if you can keep your eyes open amid all the blood and gore , you'll see del toro has [[brought]] unexpected [[gravity]] to blade ii .","if you can keep your eyes open amid all the blood and gore , you'll see del toro has [[tabled]] unexpected [[severity]] to blade ii .",0.044831275939941406,0.641215980052948,1,0,1,22,"Successful"
"the [[big]] [[finish]] is a [[bit]] [[like]] getting all [[excited]] about a chocolate eclair and then biting into it and finding the [[filling]] [[missing]] .","the [[hefty]] [[finis]] is a [[bite]] [[likes]] getting all [[thrilled]] about a chocolate eclair and then biting into it and finding the [[filled]] [[disappeared]] .",0.08607327938079834,0.36219894886016846,0,0,0,77,"Failed"
"it's a very valuable [[film]] . . .","it's a very valuable [[movies]] . . .",0.004868268966674805,0.014877021312713623,1,1,1,15,"Failed"
"[[entertaining]] despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .","[[droll]] despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .",0.02562171220779419,0.9572737812995911,1,0,1,18,"Successful"
""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",0.7071691155433655,0.7071691155433655,0,0,1,1,"Skipped"
"it's a [[big]] [[idea]] , but the [[film]] itself is [[small]] and [[shriveled]] .","it's a [[grand]] [[thoughts]] , but the [[kino]] itself is [[minimal]] and [[shrivelled]] .",0.024925053119659424,0.21718376874923706,0,0,0,58,"Failed"
"`martin [[lawrence]] live' is so self-pitying , i [[almost]] [[expected]] there to be a collection taken for the [[comedian]] at the [[end]] of the [[show]] .","`martin [[laurence]] live' is so self-pitying , i [[hardly]] [[waited]] there to be a collection taken for the [[comedy]] at the [[ends]] of the [[spectacle]] .",0.044779181480407715,0.09250408411026001,0,0,0,75,"Failed"
"one [[funny]] popcorn flick .","one [[droll]] popcorn flick .",0.008036613464355469,0.97054523229599,1,0,1,11,"Successful"
"an [[inept]] , [[tedious]] [[spoof]] of '70s kung [[fu]] pictures , it [[contains]] [[almost]] [[enough]] [[chuckles]] for a three-minute [[sketch]] , and no more .","an [[incapable]] , [[tiresome]] [[simulate]] of '70s kung [[foo]] pictures , it [[encompasses]] [[nigh]] [[sufficiently]] [[laughs]] for a three-minute [[sketching]] , and no more .",0.014591991901397705,0.05941575765609741,0,0,0,76,"Failed"
"smith finds [[amusing]] juxtapositions that justify his exercise .","smith finds [[droll]] juxtapositions that justify his exercise .",0.024417877197265625,0.9274460673332214,1,0,1,13,"Successful"
"[[gambling]] and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy makes it seem [[fresh]] again .","[[gaming]] and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy makes it seem [[dulce]] again .",0.11023277044296265,0.5540603399276733,1,0,1,37,"Successful"
"unpretentious , [[charming]] , [[quirky]] , original","unpretentious , [[handsome]] , [[lunatic]] , original",0.00700831413269043,0.8340049386024475,1,0,1,21,"Successful"
"a [[visionary]] marvel , but it's lacking a depth in storytelling usually found in anime like this .","a [[visionaries]] marvel , but it's lacking a depth in storytelling usually found in anime like this .",0.11040264368057251,0.7028631567955017,1,0,1,12,"Successful"
"a powerful , [[chilling]] , and [[affecting]] [[study]] of one man's dying [[fall]] .","a powerful , [[chill]] , and [[impact]] [[scrutinize]] of one man's dying [[decreased]] .",0.00270920991897583,0.5399224758148193,1,0,1,52,"Successful"
"a [[technically]] well-made suspenser . . . but its [[abrupt]] [[drop]] in [[iq]] points as it [[races]] to the finish line [[proves]] [[simply]] too [[discouraging]] to [[let]] [[slide]] .","a [[technical]] well-made suspenser . . . but its [[sharp]] [[autumn]] in [[qi]] points as it [[careers]] to the finish line [[testify]] [[merely]] too [[frustrating]] to [[leave]] [[sliding]] .",0.0831688642501831,0.4430878162384033,0,0,0,89,"Failed"
"[[insomnia]] [[loses]] points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the [[conclusion]] . but the performances of [[pacino]] , williams , and swank [[keep]] the [[viewer]] wide-awake all the way through .","[[sleepiness]] [[forfeits]] points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the [[conclusions]] . but the performances of [[deniro]] , williams , and swank [[conserve]] the [[viewfinder]] wide-awake all the way through .",0.011594414710998535,0.5741366147994995,1,0,1,46,"Successful"
"as a [[thoughtful]] and [[unflinching]] [[examination]] of an [[alternative]] [[lifestyle]] , [[sex]] with [[strangers]] is a [[success]] .","as a [[pensive]] and [[abiding]] [[reviews]] of an [[surrogates]] [[lifestyles]] , [[sexually]] with [[aliens]] is a [[avail]] .",0.003377079963684082,0.6426201462745667,1,0,1,64,"Successful"
"cattaneo reworks the formula that made the full monty a smashing success . . . but [[neglects]] to add the magic that made it all work .","cattaneo reworks the formula that made the full monty a smashing success . . . but [[overlooking]] to add the magic that made it all work .",0.08797502517700195,0.9319406747817993,0,1,0,22,"Successful"
"the production values are of the highest and the performances attractive without being memorable .","the production values are of the highest and the performances attractive without being memorable .",0.807133674621582,0.807133674621582,0,0,1,1,"Skipped"
"hey , happy ! is [[many]] things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a [[love]] story as sanguine as its title .","hey , happy ! is [[innumerable]] things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a [[iike]] story as sanguine as its title .",0.17956078052520752,0.5085526704788208,1,0,1,33,"Successful"
"as well-acted and well-intentioned as all or nothing is , however , the film comes perilously close to being too bleak , too pessimistic and too unflinching for its own good .","as well-acted and well-intentioned as all or nothing is , however , the film comes perilously close to being too bleak , too pessimistic and too unflinching for its own good .",0.9679079055786133,0.9679079055786133,0,0,1,1,"Skipped"
"in the director's cut , the film is not only a love song to the movies but it also is more [[fully]] an example of the kind of [[lush]] , all-enveloping movie [[experience]] it rhapsodizes .","in the director's cut , the film is not only a love song to the movies but it also is more [[altogether]] an example of the kind of [[opulent]] , all-enveloping movie [[experiences]] it rhapsodizes .",0.016722798347473145,0.5052180290222168,1,0,1,31,"Successful"
"far-fetched premise , [[convoluted]] plot , and thematic [[mumbo]] jumbo about destiny and redemptive love .","far-fetched premise , [[intricate]] plot , and thematic [[gobbledygook]] jumbo about destiny and redemptive love .",0.020101964473724365,0.8057523965835571,0,1,0,18,"Successful"
"this amiable picture talks tough , but it's all bluster -- in the end it's as sweet as greenfingers . . .","this amiable picture talks tough , but it's all bluster -- in the end it's as sweet as greenfingers . . .",0.5010236501693726,0.5010236501693726,0,0,1,1,"Skipped"
"an animation landmark as [[monumental]] as disney's 1937 breakthrough [[snow]] [[white]] and the [[seven]] [[dwarfs]] .","an animation landmark as [[gargantuan]] as disney's 1937 breakthrough [[snowfall]] [[bianchi]] and the [[vii]] [[midgets]] .",0.020875751972198486,0.5733972787857056,1,0,1,51,"Successful"
"to [[call]] this [[film]] a lump of [[coal]] [[would]] only be to flatter it .","to [[invitation]] this [[movie]] a lump of [[coals]] [[ought]] only be to flatter it .",0.11207258701324463,0.18461167812347412,0,0,0,30,"Failed"
"[[great]] character interaction .","[[whopping]] character interaction .",0.0070601701736450195,0.843372642993927,1,0,1,29,"Successful"
"more [[likely]] to have you scratching your [[head]] than [[hiding]] under your seat .","more [[might]] to have you scratching your [[chief]] than [[disguising]] under your seat .",0.15755695104599,0.2329663634300232,0,0,0,34,"Failed"
"that haynes can both [[maintain]] and [[dismantle]] the [[facades]] that his [[genre]] and his [[character]] [[construct]] is a wonderous [[accomplishment]] of veracity and narrative [[grace]] .","that haynes can both [[maintaining]] and [[demolish]] the [[exteriors]] that his [[types]] and his [[traits]] [[constructs]] is a wonderous [[materialization]] of veracity and narrative [[gracia]] .",0.006380736827850342,0.04088389873504639,1,1,1,79,"Failed"
"those who don't entirely 'get' godard's [[distinctive]] [[discourse]] will still [[come]] away with a [[sense]] of his [[reserved]] but existential poignancy .","those who don't entirely 'get' godard's [[symptomatic]] [[rhetoric]] will still [[arrived]] away with a [[sensing]] of his [[reserving]] but existential poignancy .",0.06784296035766602,0.5368825197219849,1,0,1,29,"Successful"
". it's a testament to the film's considerable charm that it succeeds in entertaining , despite [[playing]] out like a feature-length [[sitcom]] replete with stereotypical familial quandaries . there's a [[sheer]] unbridled [[delight]] in the way the [[story]] unfurls . . .",". it's a testament to the film's considerable charm that it succeeds in entertaining , despite [[gaming]] out like a feature-length [[comic]] replete with stereotypical familial quandaries . there's a [[mere]] unbridled [[jubilation]] in the way the [[narratives]] unfurls . . .",0.014472603797912598,0.5436458587646484,1,0,1,53,"Successful"
